trade_date,equity,cash,holding_value
2022-07-27,859474.5520692386,0.043115749664139,859474.5089534889
2022-07-28,853238.8592473587,0.043115749664139,853238.8161316091
2022-07-29,841132.098341973,0.043115749664139,841132.0552262234
2022-08-01,856440.0086286708,0.043115749664139,856439.9655129211
2022-08-02,841020.4452907539,0.043115749664139,841020.4021750042
2022-08-03,826969.530243913,0.043115749664139,826969.4871281632
2022-08-04,835254.0695141333,0.043115749664139,835254.0263983837
2022-08-05,846063.7330222875,0.043115749664139,846063.6899065379
2022-08-08,844329.8184146737,0.043115749664139,844329.775298924
2022-08-09,845088.3333139019,0.043115749664139,845088.2901981522
2022-08-10,830825.5707498672,0.043115749664139,830825.5276341175
2022-08-11,844097.4227143489,0.043115749664139,844097.3795985993
2022-08-12,841845.251091949,0.043115749664139,841845.2079761993
2022-08-15,846042.1622967573,86684.30628044636,759357.856016311
2022-08-16,850388.2553545438,86684.30628044636,763703.9490740974
2022-08-17,853327.9041437869,86684.30628044636,766643.5978633405
2022-08-18,852422.4688131384,86684.30628044636,765738.1625326921
2022-08-19,847553.8634658722,86684.30628044636,760869.5571854259
2022-08-22,848080.1479687287,86684.30628044636,761395.8416882823
2022-08-23,848181.6326559234,86684.30628044636,761497.326375477
2022-08-24,835185.2302570572,86684.30628044636,748500.9239766109
2022-08-25,838384.8140486894,86684.30628044636,751700.5077682431
2022-08-26,839542.6399549738,86684.30628044636,752858.3336745275
2022-08-29,839250.946422082,83876.29336804664,755374.6530540354
2022-08-30,834011.497484352,83876.29336804664,750135.2041163053
2022-08-31,832892.3746818485,83876.29336804664,749016.0813138018
2022-09-01,825108.3148782267,83876.29336804664,741232.0215101801
2022-09-02,818285.4438193686,83876.29336804664,734409.150451322
2022-09-05,813993.3718095525,83876.29336804664,730117.0784415059
2022-09-06,822220.650889291,83876.29336804664,738344.3575212443
2022-09-07,815179.9171945587,83876.29336804664,731303.623826512
2022-09-08,812005.3201147218,83876.29336804664,728129.0267466751
2022-09-09,817727.2263042212,83876.29336804664,733850.9329361746
2022-09-13,823347.2713962668,452802.2989962774,370544.9723999894
2022-09-14,820224.3640113722,452802.2989962774,367422.0650150948
2022-09-15,821665.7058813235,452802.2989962774,368863.40688504616
2022-09-16,810855.6418566885,452802.2989962774,358053.3428604111
2022-09-19,810855.6418566885,452802.2989962774,358053.3428604111
2022-09-20,810495.3063892007,452802.2989962774,357693.00739292335
2022-09-21,813738.3255965912,452802.2989962774,360936.0266003138
2022-09-22,815179.6674665425,452802.2989962774,362377.3684702651
2022-09-23,812296.9837266398,452802.2989962774,359494.68473036244
2022-09-26,806531.6162468345,452802.2989962774,353729.3172505571
2022-09-27,808453.4054067696,452802.2989962774,355651.1064104922
2022-09-28,805931.0571343547,452802.2989962774,353128.7581380774
2022-09-29,805330.498021875,452802.2989962774,352528.1990255977
2022-09-30,808333.2935842737,452802.2989962774,355530.9945879963
2022-10-10,808933.8526967533,452802.2989962774,356131.553700476
2022-10-11,807732.734471794,452802.2989962774,354930.4354755166
2022-10-12,811936.6482591521,452802.2989962774,359134.3492628747
2022-10-13,806411.5044243386,452802.2989962774,353609.2054280612
2022-10-14,810255.0827442089,452802.2989962774,357452.7837479314
2022-10-17,809174.0763417453,452802.2989962774,356371.77734546794
2022-10-18,808573.5172292655,452802.2989962774,355771.2182329882
2022-10-19,808213.1817617777,452802.2989962774,355410.88276550034
2022-10-20,805090.2743768832,452802.2989962774,352287.9753806058
2022-10-21,806651.7280693306,452802.2989962774,353849.4290730531
2022-10-24,800405.9132995413,452802.2989962774,347603.61430326395
2022-10-25,797042.7822696549,452802.2989962774,344240.4832733775
2022-10-26,795000.8812872239,452802.2989962774,342198.58229094645
2022-10-27,796682.446802167,452802.2989962774,343880.14780588966
2022-10-28,790796.9674998657,452802.2989962774,337994.66850358836
2022-10-31,782650.4912397185,782650.4912397185,0.0
2022-11-01,782650.4912397185,782650.4912397185,0.0
2022-11-02,782650.4912397185,782650.4912397185,0.0
2022-11-03,782650.4912397185,782650.4912397185,0.0
2022-11-04,782650.4912397185,782650.4912397185,0.0
2022-11-07,782650.4912397185,782650.4912397185,0.0
2022-11-08,782650.4912397185,782650.4912397185,0.0
2022-11-09,782650.4912397185,782650.4912397185,0.0
2022-11-10,782650.4912397185,782650.4912397185,0.0
2022-11-11,782650.4912397185,782650.4912397185,0.0
2022-11-14,782650.4912397185,782650.4912397185,0.0
2022-11-15,782650.4912397185,782650.4912397185,0.0
2022-11-16,782650.4912397185,782650.4912397185,0.0
2022-11-17,782650.4912397185,782650.4912397185,0.0
2022-11-18,782650.4912397185,782650.4912397185,0.0
2022-11-21,782650.4912397185,782650.4912397185,0.0
2022-11-22,782650.4912397185,782650.4912397185,0.0
2022-11-23,782650.4912397185,782650.4912397185,0.0
2022-11-24,782650.4912397185,782650.4912397185,0.0
2022-11-25,782650.4912397185,782650.4912397185,0.0
2022-11-28,782474.4477080978,195662.67563883786,586811.7720692599
