trade_date,etf_code,theme,style,dividend_yield_abs,weighted_pb,weighted_pe_ttm,constituent_count,source
2022-10-28,512660.SH,军工,growth,0.004242246255139721,5.184734701112886,56.98039897173073,99,constituent_weighted
2022-10-28,515030.SH,新能源车,growth,0.06063372570642053,1.795171304029671,6.977234437794387,38,constituent_weighted
2022-10-28,515790.SH,光伏,growth,0.005883275393016666,5.553507830508213,28.744794510712346,260,constituent_weighted
2022-10-28,512400.SH,有色,cyclical_value,0.010967298261471897,3.525005184338295,14.77371333178479,128,constituent_weighted
2022-10-28,515220.SH,煤炭,cyclical_value,0.06121951576055146,1.7625938662370289,6.8934605809159955,36,constituent_weighted
2022-10-28,515210.SH,钢铁,cyclical_value,0.0585801419920392,1.523666213452994,12.08456668523202,44,constituent_weighted
2022-10-28,561560.SH,电力,stable_value,0.02117846466129861,2.0376004964084444,22.36216076133554,122,constituent_weighted
2022-11-25,512000.SH,证券,cyclical_value,0.02223980475370027,1.594195693679568,18.75487910331181,48,constituent_weighted
2022-11-25,512800.SH,银行,stable_value,0.05898093620603102,0.5978136675158836,4.479032069782117,42,constituent_weighted
2022-11-25,512200.SH,地产,cyclical_value,0.025037210005954717,1.401881683255742,13.868719509414813,115,constituent_weighted
2022-11-25,159928.SZ,消费,stable_value,0.016274267919925704,8.028622068195775,30.302010133118827,119,constituent_weighted
2022-11-25,512010.SH,医药,growth,0.010324177898155654,5.688558278759011,25.843896141588598,358,constituent_weighted
2022-11-25,512480.SH,半导体,growth,0.003926136339249068,6.5779469219273485,37.4793696054988,47,constituent_weighted
2022-11-25,159995.SZ,芯片,growth,0.0034773254048643502,6.460107633083145,41.868295489127284,121,constituent_weighted
2022-11-25,159819.SZ,人工智能,growth,0.008266296311740702,5.092046711293616,45.5031485582634,267,constituent_weighted
2022-11-25,512660.SH,军工,growth,0.004382951227386063,4.856572975140124,54.068454036569506,99,constituent_weighted
2022-11-25,515030.SH,新能源车,growth,0.05985669107344349,1.6955585531562143,6.9443794707183475,38,constituent_weighted
2022-11-25,515790.SH,光伏,growth,0.005925646319773079,5.398895046334912,28.079605917218217,264,constituent_weighted
2022-11-25,512400.SH,有色,cyclical_value,0.010261776404609808,3.596693796798643,15.543062768860803,127,constituent_weighted
2022-11-25,515220.SH,煤炭,cyclical_value,0.06042169289366977,1.6680806473599015,6.858461117205281,36,constituent_weighted
2022-11-25,515210.SH,钢铁,cyclical_value,0.048696065149663285,1.6266280743210253,15.95512495038368,44,constituent_weighted
2022-11-25,561560.SH,电力,stable_value,0.019882736159828978,2.15566705335945,24.751274626859765,122,constituent_weighted
2022-12-23,512000.SH,证券,cyclical_value,0.02263479127418434,1.5965821334169894,18.39341875763486,49,constituent_weighted
2022-12-23,512800.SH,银行,stable_value,0.05812474117989594,0.6135508943399216,4.508027135119346,42,constituent_weighted
2022-12-23,512200.SH,地产,cyclical_value,0.025599865198610957,1.3889563293163771,13.65291696097193,115,constituent_weighted
2022-12-23,159928.SZ,消费,stable_value,0.013958251520978196,9.4255913578753,35.33049294696251,119,constituent_weighted
2022-12-23,512010.SH,医药,growth,0.010675000003062379,5.737156461564716,25.269686592761563,358,constituent_weighted
2022-12-23,512480.SH,半导体,growth,0.00415284775980627,5.991599414904325,35.27482507379843,47,constituent_weighted
2022-12-23,159995.SZ,芯片,growth,0.0036672945593927107,5.868653539993863,39.47157602155761,124,constituent_weighted
2022-12-23,159819.SZ,人工智能,growth,0.008407630714714343,5.022235164392485,44.7246694542225,267,constituent_weighted
2022-12-23,512660.SH,军工,growth,0.0049533858646893135,4.387652863448796,49.438042073106296,99,constituent_weighted
2022-12-23,515030.SH,新能源车,growth,0.06577100056850384,1.5211599610283248,6.313908292772098,38,constituent_weighted
2022-12-23,515790.SH,光伏,growth,0.006273039058372164,4.966500179520923,26.267756024578418,264,constituent_weighted
2022-12-23,512400.SH,有色,cyclical_value,0.010296016779583942,3.334925683370037,14.739942589636788,127,constituent_weighted
2022-12-23,515220.SH,煤炭,cyclical_value,0.06631003605925735,1.5084760903935237,6.243514407053811,36,constituent_weighted
2022-12-23,515210.SH,钢铁,cyclical_value,0.050263788347431115,1.493200028407246,15.23254320819838,44,constituent_weighted
2022-12-23,561560.SH,电力,stable_value,0.021560431674382544,1.967485169464614,22.670984971248817,123,constituent_weighted
2023-01-20,512000.SH,证券,cyclical_value,0.020906622077003365,1.849944045773013,20.688007106563436,49,constituent_weighted
2023-01-20,512800.SH,银行,stable_value,0.05537199472624554,0.6568255586874366,4.7078286021826745,42,constituent_weighted
2023-01-20,512200.SH,地产,cyclical_value,0.025500326242790076,1.405464272117876,14.978393852999886,115,constituent_weighted
2023-01-20,159928.SZ,消费,stable_value,0.017666216020234816,10.514366006575779,37.200613479337335,119,constituent_weighted
2023-01-20,512010.SH,医药,growth,0.00985990424557438,6.330538663165074,27.285276679931485,360,constituent_weighted
2023-01-20,512480.SH,半导体,growth,0.0036821852016430123,6.655435330823156,39.76089585627442,48,constituent_weighted
2023-01-20,159995.SZ,芯片,growth,0.0032305098102924723,6.475769968863895,44.92993999550619,126,constituent_weighted
2023-01-20,159819.SZ,人工智能,growth,0.007331635589592127,5.999912052310167,50.980683426864076,267,constituent_weighted
2023-01-20,512660.SH,军工,growth,0.004590502850626751,4.69407353662568,53.635892040402865,96,constituent_weighted
2023-01-20,515030.SH,新能源车,growth,0.06177639922678431,1.5965138392638945,6.740751949809675,38,constituent_weighted
2023-01-20,515790.SH,光伏,growth,0.00547001813926264,5.715380298274166,29.942556410686816,265,constituent_weighted
2023-01-20,512400.SH,有色,cyclical_value,0.009335379424538472,3.739152774210143,16.722526246220056,128,constituent_weighted
2023-01-20,515220.SH,煤炭,cyclical_value,0.06212560727357157,1.5968950725607485,6.682298025935857,36,constituent_weighted
2023-01-20,515210.SH,钢铁,cyclical_value,0.047345823548506104,1.6039087571895472,16.206680291365924,44,constituent_weighted
2023-01-20,561560.SH,电力,stable_value,0.020321968863896936,2.0932571721101025,23.71512582037674,123,constituent_weighted
2023-02-24,512000.SH,证券,cyclical_value,0.021564770135341225,1.7601131368880782,20.202390292626728,50,constituent_weighted
2023-02-24,512800.SH,银行,stable_value,0.05712231219510338,0.6175725271093851,4.550031341247095,42,constituent_weighted
2023-02-24,512200.SH,地产,cyclical_value,0.025874751152716473,1.3968194954801423,14.761603627147,115,constituent_weighted
2023-02-24,159928.SZ,消费,stable_value,0.017878888863517364,10.242104414407189,36.72120244368503,119,constituent_weighted
